Date,Day,Weather,Exam Week,Special Event,Attendance
15-01-2025,Wednesday,Sunny,No,Holiday,152
16-01-2025,Thursday,Rainy,No,None,164
17-01-2025,Friday,,No,Sports,
18-01-2025,Saturday,,No,None,232
19-01-2025,Sunday,Rainy,No,Tech,208
20-01-2025,Monday,Cloudy,No,None,193
21-01-2025,Tuesday,Sunny,No,None,197
22-01-2025,Wednesday,Sunny,No,None,188
23-01-2025,Thursday,Sunny,No,None,188
24-01-2025,Friday,Cloudy,Yes,None,182
25-01-2025,Saturday,Sunny,No,None,217
26-01-2025,Sunday,Sunny,No,None,220
27-01-2025,Monday,Cloudy,No,None,199
28-01-2025,Tuesday,Sunny,No,None,194
29-01-2025,Wednesday,Sunny,No,Cultural,238
30-01-2025,Thursday,Rainy,No,None,158
31-01-2025,Friday,Cloudy,No,None,193
01-02-2025,Saturday,Rainy,No,None,193
02-02-2025,Sunday,Sunny,No,Movie Screening,203
03-02-2025,Monday,Cloudy,No,None,197
04-02-2025,Tuesday,Rainy,No,Tech,170
05-02-2025,Wednesday,Rainy,No,Holiday,128
06-02-2025,Thursday,Cloudy,No,None,193
07-02-2025,Friday,Sunny,No,None,182
08-02-2025,Saturday,Rainy,Yes,Sports,173
09-02-2025,Sunday,Sunny,No,Festival,169
10-02-2025,Monday,Sunny,Yes,None,
11-02-2025,Tuesday,Rainy,No,None,
12-02-2025,Wednesday,Rainy,No,Festival,119
13-02-2025,Thursday,Cloudy,Yes,None,198
14-02-2025,Friday,Sunny,No,Cultural,184
15-02-2025,Saturday,Cloudy,No,None,212
16-02-2025,Sunday,Sunny,No,None,218
17-02-2025,Monday,Cloudy,No,Holiday,149
18-02-2025,Tuesday,Sunny,No,None,200
19-02-2025,Wednesday,Sunny,No,None,193
20-02-2025,Thursday,Sunny,No,None,
21-02-2025,Friday,Cloudy,No,None,180
22-02-2025,Saturday,Cloudy,No,None,209
23-02-2025,Sunday,,No,None,222
24-02-2025,Monday,Cloudy,Yes,None,185
25-02-2025,Tuesday,Sunny,No,Festival,155
26-02-2025,Wednesday,Sunny,No,None,182
27-02-2025,Thursday,Sunny,No,None,193
28-02-2025,Friday,Sunny,Yes,None,184
01-03-2025,Saturday,Sunny,No,Cultural,202
02-03-2025,Sunday,Sunny,No,Festival,175
03-03-2025,Monday,Sunny,No,None,186
04-03-2025,Tuesday,Cloudy,No,None,192
05-03-2025,Wednesday,Sunny,No,None,197
06-03-2025,Thursday,Cloudy,No,Movie Screening,200
07-03-2025,Friday,Rainy,No,Sports,154
08-03-2025,Saturday,Sunny,No,None,226
09-03-2025,Sunday,Sunny,No,Holiday,171
10-03-2025,Monday,Sunny,No,Festival,148
11-03-2025,Tuesday,Cloudy,No,None,187
12-03-2025,Wednesday,Rainy,No,None,176
13-03-2025,Thursday,Sunny,No,None,251
14-03-2025,Friday,Rainy,No,None,
15-03-2025,Saturday,Cloudy,Yes,Sports,220
16-03-2025,Sunday,Sunny,Yes,None,213
17-03-2025,Monday,Sunny,Yes,None,187
18-03-2025,Tuesday,Sunny,Yes,None,190
19-03-2025,Wednesday,Sunny,Yes,None,187
20-03-2025,Thursday,Rainy,Yes,None,154
21-03-2025,Friday,Rainy,Yes,None,156
22-03-2025,Saturday,Cloudy,Yes,None,206
23-03-2025,Sunday,Sunny,No,,207
24-03-2025,Monday,Cloudy,No,,192
25-03-2025,Tuesday,Rainy,No,None,146
26-03-2025,Wednesday,Rainy,No,None,168
27-03-2025,Thursday,Sunny,No,None,183
28-03-2025,Friday,Sunny,Yes,None,194
29-03-2025,Saturday,Rainy,No,None,181
30-03-2025,Sunday,,Yes,None,211
31-03-2025,Monday,Sunny,No,None,195
01-04-2025,Tuesday,Rainy,No,Movie Screening,164
02-04-2025,Wednesday,Cloudy,No,None,181
03-04-2025,Thursday,,No,None,182
04-04-2025,Friday,Sunny,No,Holiday,151
05-04-2025,Saturday,Cloudy,No,None,223
06-04-2025,Sunday,Sunny,No,,208
07-04-2025,Monday,Sunny,No,Cultural,195
08-04-2025,Tuesday,Rainy,No,Festival,120
09-04-2025,Wednesday,Rainy,No,None,157
10-04-2025,Thursday,Sunny,No,None,197
11-04-2025,Friday,Rainy,No,None,162
12-04-2025,Saturday,Sunny,No,None,213
13-04-2025,Sunday,Rainy,No,None,197
14-04-2025,Monday,Sunny,No,None,192
15-04-2025,Tuesday,Sunny,No,None,187
16-04-2025,Wednesday,Cloudy,No,None,193
17-04-2025,Thursday,Cloudy,No,Holiday,212
18-04-2025,Friday,Sunny,No,None,190
19-04-2025,Saturday,Sunny,No,None,214
20-04-2025,Sunday,Sunny,No,None,215
21-04-2025,Monday,,No,None,221
22-04-2025,Tuesday,Rainy,Yes,None,162
23-04-2025,Wednesday,Cloudy,No,None,180
24-04-2025,Thursday,Cloudy,Yes,None,
25-04-2025,Friday,Sunny,No,None,186
26-04-2025,Saturday,Cloudy,No,None,205
27-04-2025,Sunday,Sunny,No,None,230
28-04-2025,Monday,Cloudy,No,,182
29-04-2025,Tuesday,Rainy,No,None,153
30-04-2025,Wednesday,Rainy,No,Tech,212
01-05-2025,Thursday,Cloudy,No,None,193
02-05-2025,Friday,Cloudy,No,None,181
03-05-2025,Saturday,Sunny,No,None,222
04-05-2025,Sunday,Cloudy,No,None,222
05-05-2025,Monday,Sunny,Yes,,196
06-05-2025,Tuesday,Sunny,Yes,None,181
07-05-2025,Wednesday,Cloudy,Yes,Festival,162
08-05-2025,Thursday,Sunny,Yes,None,185
09-05-2025,Friday,Rainy,Yes,None,149
10-05-2025,Saturday,Sunny,Yes,None,215
11-05-2025,Sunday,Rainy,Yes,Holiday,132
12-05-2025,Monday,Sunny,No,,189
13-05-2025,Tuesday,Cloudy,No,None,183
14-05-2025,Wednesday,Sunny,No,Tech,192
15-05-2025,Thursday,Sunny,No,None,186
