Date,Day,Weather,Exam Week,Special Event,Attendance
15-01-2025,Wednesday,Sunny,No,Holiday,169
16-01-2025,Thursday,Cloudy,No,None,193
17-01-2025,Friday,Cloudy,No,Sports,211
18-01-2025,Saturday,Sunny,No,None,198
19-01-2025,Sunday,Rainy,No,,169
20-01-2025,Monday,Cloudy,No,None,207
21-01-2025,Tuesday,Sunny,No,None,220
22-01-2025,Wednesday,Sunny,No,None,232
23-01-2025,Thursday,Cloudy,No,,211
24-01-2025,Friday,Sunny,Yes,None,193
25-01-2025,Saturday,Sunny,No,None,195
26-01-2025,Sunday,Sunny,No,None,255
27-01-2025,Monday,Sunny,No,None,223
28-01-2025,Tuesday,,No,None,197
29-01-2025,Wednesday,,No,Cultural,229
30-01-2025,Thursday,Sunny,No,None,211
31-01-2025,Friday,,No,,182
01-02-2025,Saturday,Cloudy,No,None,176
02-02-2025,Sunday,Rainy,No,Movie Screening,150
03-02-2025,Monday,Cloudy,No,None,193
04-02-2025,Tuesday,Sunny,No,Tech,218
05-02-2025,Wednesday,Cloudy,No,Holiday,148
06-02-2025,Thursday,Sunny,No,None,214
07-02-2025,Friday,Sunny,No,None,222
08-02-2025,Saturday,Rainy,Yes,Sports,127
09-02-2025,Sunday,Sunny,No,Festival,169
10-02-2025,Monday,Sunny,Yes,None,199
11-02-2025,Tuesday,Sunny,No,None,223
12-02-2025,Wednesday,Rainy,No,Festival,151
13-02-2025,Thursday,Sunny,Yes,None,188
14-02-2025,Friday,Cloudy,No,Cultural,210
15-02-2025,Saturday,,No,None,214
16-02-2025,Sunday,Sunny,No,None,203
17-02-2025,Monday,Sunny,No,Holiday,182
18-02-2025,Tuesday,Sunny,No,None,216
19-02-2025,Wednesday,Cloudy,No,None,194
20-02-2025,Thursday,Rainy,No,None,178
21-02-2025,Friday,Rainy,No,None,169
22-02-2025,Saturday,Sunny,No,None,190
23-02-2025,Sunday,Sunny,No,None,187
24-02-2025,Monday,,Yes,None,169
25-02-2025,Tuesday,Sunny,No,Festival,194
26-02-2025,Wednesday,Sunny,No,None,221
27-02-2025,Thursday,Rainy,No,None,178
28-02-2025,Friday,Cloudy,Yes,None,160
01-03-2025,Saturday,Rainy,No,Cultural,148
02-03-2025,Sunday,Cloudy,No,Festival,147
03-03-2025,Monday,Rainy,No,None,180
04-03-2025,Tuesday,Sunny,No,None,274
05-03-2025,Wednesday,Cloudy,No,None,193
06-03-2025,Thursday,Sunny,No,Movie Screening,218
07-03-2025,Friday,Cloudy,No,Sports,201
08-03-2025,Saturday,Cloudy,No,None,
09-03-2025,Sunday,Sunny,No,Holiday,154
10-03-2025,Monday,Sunny,No,Festival,166
11-03-2025,Tuesday,Rainy,No,None,179
12-03-2025,Wednesday,Cloudy,No,None,215
13-03-2025,Thursday,Rainy,No,None,184
14-03-2025,Friday,Sunny,No,None,233
15-03-2025,Saturday,Sunny,Yes,Sports,166
16-03-2025,Sunday,Sunny,Yes,None,160
17-03-2025,Monday,Cloudy,Yes,None,159
18-03-2025,Tuesday,Rainy,Yes,None,155
19-03-2025,Wednesday,Sunny,Yes,None,186
20-03-2025,Thursday,Sunny,Yes,None,175
21-03-2025,Friday,Sunny,Yes,None,
22-03-2025,Saturday,Sunny,Yes,None,168
23-03-2025,Sunday,Sunny,No,None,190
24-03-2025,Monday,Rainy,No,None,168
25-03-2025,Tuesday,Sunny,No,None,206
26-03-2025,Wednesday,Sunny,No,None,222
27-03-2025,Thursday,Sunny,No,None,
28-03-2025,Friday,Sunny,Yes,None,193
29-03-2025,Saturday,Rainy,No,None,156
30-03-2025,Sunday,Rainy,Yes,None,141
31-03-2025,Monday,Rainy,No,None,
01-04-2025,Tuesday,Rainy,No,,171
02-04-2025,Wednesday,Rainy,No,None,181
03-04-2025,Thursday,Sunny,No,None,213
04-04-2025,Friday,Sunny,No,Holiday,194
05-04-2025,Saturday,Rainy,No,None,162
06-04-2025,Sunday,Sunny,No,None,206
07-04-2025,Monday,Sunny,No,Cultural,204
08-04-2025,Tuesday,Sunny,No,Festival,171
